id,name,Internal Reference,active,sale_ok,purchase_ok,list_price,standard_price,type,barcode,Brand,Model,Color,Size,categ_id,Image 1,Image 2
E-ADD-994-406051-4918,Adidas 994 406051,E-ADD-994-406051-4918,1,1,1,40,60,Stockable,E-ADD-994-406051-4918,Adidas,994,406051,49-18,E,e-add-994-406051_00.jpg,e-add-994-406051_01.jpg
E-ADD-994-406052-4918,Adidas 994 406052,E-ADD-994-406052-4918,1,1,1,40,60,Stockable,E-ADD-994-406052-4918,Adidas,994,406052,49-18,E,e-add-994-406052_00.jpg,e-add-994-406052_01.jpg
E-ADD-994-606054-4918,Adidas 994 606054,E-ADD-994-606054-4918,1,1,1,40,60,Stockable,E-ADD-994-606054-4918,Adidas,994,606054,49-18,E,e-add-994-606054_00.jpg,e-add-994-606054_01.jpg
E-ADD-995-406050-5018,Adidas 995 406050,E-ADD-995-406050-5018,1,1,1,40,60,Stockable,E-ADD-995-406050-5018,Adidas,995,406050,50-18,E,e-add-995-406050_00.jpg,e-add-995-406050_01.jpg
E-ADD-995-406051-5018,Adidas 995 406051,E-ADD-995-406051-5018,1,1,1,40,60,Stockable,E-ADD-995-406051-5018,Adidas,995,406051,50-18,E,e-add-995-406051_00.jpg,e-add-995-406051_01.jpg
E-ADD-996-406051-4717,Adidas 996 406051,E-ADD-996-406051-4717,1,1,1,40,60,Stockable,E-ADD-996-406051-4717,Adidas,996,406051,47-17,E,e-add-996-406051_00.jpg,e-add-996-406051_01.jpg
E-ADD-996-406052-4517,Adidas 996 406052,E-ADD-996-406052-4517,1,1,1,40,60,Stockable,E-ADD-996-406052-4517,Adidas,996,406052,45-17,E,e-add-996-406052_00.jpg,e-add-996-406052_01.jpg
E-ADD-996-406054-4517,Adidas 996 406054,E-ADD-996-406054-4517,1,1,1,40,60,Stockable,E-ADD-996-406054-4517,Adidas,996,406054,45-17,E,e-add-996-406054_00.jpg,e-add-996-406054_01.jpg
E-ADD-996-406056-4517,Adidas 996 406056,E-ADD-996-406056-4517,1,1,1,40,60,Stockable,E-ADD-996-406056-4517,Adidas,996,406056,45-17,E,e-add-996-406056_00.jpg,e-add-996-406056_01.jpg
E-ADD-996-406059-4517,Adidas 996 406059,E-ADD-996-406059-4517,1,1,1,40,60,Stockable,E-ADD-996-406059-4517,Adidas,996,406059,45-17,E,e-add-996-406059_00.jpg,e-add-996-406059_01.jpg
E-ADD-996-406060-4517,Adidas 996 406060,E-ADD-996-406060-4517,1,1,1,40,60,Stockable,E-ADD-996-406060-4517,ADIDAS,996,406060,45-17,E,e-add-996-406060_00.jpg,e-add-996-406060_01.jpg
E-ADD-996-406060-4717,Adidas 996 406060,E-ADD-996-406060-4717,1,1,1,40,60,Stockable,E-ADD-996-406060-4717,Adidas,996,406060,47-17,E,e-add-996-406060_00.jpg,e-add-996-406060_01.jpg
E-ADD-999-406051-4517,Adidas 999 406051,E-ADD-999-406051-4517,1,1,1,40,60,Stockable,E-ADD-999-406051-4517,Adidas,999,406051,45-17,E,e-add-999-406051_00.jpg,e-add-999-406051_01.jpg
E-ADD-999-406052-4517,Adidas 999 406052,E-ADD-999-406052-4517,1,1,1,40,60,Stockable,E-ADD-999-406052-4517,Adidas,999,406052,45-17,E,e-add-999-406052_00.jpg,e-add-999-406052_01.jpg
E-ADD-999-406053-4517,Adidas 999 406053,E-ADD-999-406053-4517,1,1,1,40,60,Stockable,E-ADD-999-406053-4517,Adidas,999,406053,45-17,E,e-add-999-406053_00.jpg,e-add-999-406053_01.jpg
E-ADD-999-406054-4517,Adidas 999 406054,E-ADD-999-406054-4517,1,1,1,40,60,Stockable,E-ADD-999-406054-4517,Adidas,999,406054,45-17,E,e-add-999-406054_00.jpg,e-add-999-406054_01.jpg
E-ADD-999-406056-4517,Adidas 999 406056,E-ADD-999-406056-4517,1,1,1,40,60,Stockable,E-ADD-999-406056-4517,Adidas,999,406056,45-17,E,e-add-999-406056_00.jpg,e-add-999-406056_01.jpg
E-ADD-999-406059-4517,Adidas 999 406059,E-ADD-999-406059-4517,1,1,1,40,60,Stockable,E-ADD-999-406059-4517,Adidas,999,406059,45-17,E,e-add-999-406059_00.jpg,e-add-999-406059_01.jpg
